product_name	brand	category	subcategory	price	image1_path	alt1_text	color	model_number	product_description
iPhone XR, 64GB	Apple	cellphones	iphone	248.00	/prodImg/cellphones/iphone/iphonexr_1.jpg	Picture of the front of a black iPhone XR	black	A1984	With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple's A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR.
iPhone XS, 64GB	Apple	cellphones	iphone	299.98	/prodImg/cellphones/iphone/iphonexs_1.jpg	Picture of the back of a black iPhone XS	black	MTA02LL/A	A Super Retina OLED display. Even faster Face ID. And a breakthrough dual-camera system. The iPhone XS is everything you love about iPhone. Taken to the extreme.
iPhone 11 Pro, 64GB	Apple	cellphones	iphone	428.57	/prodImg/cellphones/iphone/iphone11pro_1.jpg	Picture of the front of a black iPhone 11 Pro	black	A2160	Shoot amazing videos and photos with the Ultra Wide, Wide, and Telephoto cameras. Capture your best low-light photos with Night mode. Watch HDR movies and shows on the Super Retina XDR display—the brightest iPhone display yet.
iPhone 12 Mini, 128GB	Apple	cellphones	iphone	472.97	/prodImg/cellphones/iphone/iphone12mini_1.jpg	Picture of the front of a blue iPhone 12 Mini	blue	A1954	iPhone 12 mini delivers an advanced 5G experience on a global scale, engineered with a seamless integration of world-class hardware and world-class software. 
iPhone 11 Pro Max, 64GB	Apple	cellphones	iphone	528.96	/prodImg/cellphones/iphone/iphone11promax_1.jpg	Picture of the front of a black iPhone 11 Pro Max	black	MWGF2LL/A 	The iPhone 11 Pro Max display has rounded corners that follow a beautiful curved design, and these corners are within a standard rectangle. 
iPhone 13, 128GB	Apple	cellphones	iphone	773.97	/prodImg/cellphones/iphone/iphone13_1.jpg	Picture of the front of a blue iPhone 13	blue	MWAF2LL/A 	Your new superpower. A superbright display in a durable design. Hollywood-worthy video shooting made easy. A lightning-fast chip. And a big boost in battery life you'll notice every day.
iPhone 7, 32GB	Apple	cellphones	iphone	128.00	/prodImg/cellphones/iphone/iphone7_1.jpg	Picture of the front of a black iPhone 7	black	A1660	Phone 7 dramatically improves the most important aspects of the iPhone experience. It introduces advanced new camera systems. The best performance and battery life ever in an iPhone.
Galaxy S22, 128GB	Samsung	cellphones	samsung	699.99	/prodImg/cellphones/samsung/galaxys22_1.jpg	Picture of the front of a green Galaxy S22	green	SM-S901UZGAXAA 	For Gen Z, video isn't just video. They think of it as a lifestyle - a universal language for how they learn, grow, express, talk, shop, connect, create, and fight boredom with their friends in real time. 
Galaxy S21, 128GB	Samsung	cellphones	samsung	599.99	/prodImg/cellphones/samsung/galaxys21_1.jpg	Picture of the front of a white Galaxy S21	white	SM-G990UZWDXAA 	Take your everyday experiences to the next level with the phone that's designed to fuel the passions of every fan. Whether you're a gaming guru, social star or fashionista, Samsung Galaxy S21 FE 5G is jam-packed with features.
Galaxy S10+, 128GB	Samsung	cellphones	samsung	252.50	/prodImg/cellphones/samsung/galaxys10_1.jpg	Picture of the front of a black Galaxy S10 plus	black	B07PFL29FR 	As the Galaxy S10, the Samsung Galaxy S10+ comes with a powerful Snapdragon 855 chip, a glass-and-metal construction, and a fingerprint reader built inside the display.
Galaxy A12, 128GB	Samsung	cellphones	samsung	171.96	/prodImg/cellphones/samsung/galaxya12_1.jpg	Picture of the front of a black Galaxy A12	black	SM-A125FZKHXSP	Expand your view to the 6.5-inch Infinity-V Display of Galaxy A12 and see what you've been missing. Thanks to HD+ technology, your everyday content looks sharp, crisp and clear.
Galaxy A52, 128GB	Samsung	cellphones	samsung	274.99	/prodImg/cellphones/samsung/galaxya52_1.jpg	Picture of the front of a black Galaxy A52	black	A525F	Behold the comfortable, sleek curves on Galaxy A52's seamless design. The minimal camera housing blends in with the matte finish on the rear for an iconic, almost unibody look. Express your style with four trendsetting colors: Awesome Violet, Awesome Black, and Awesome White.
Galaxy Z Flip 3,128GB 	Samsung	cellphones	samsung	899.98	/prodImg/cellphones/samsung/galaxyzflip3_1.jpg	Picture of the front of a black Galaxy Z Flip 3	black	SM-F711UZGAXAA 	The Samsung Galaxy Z Flip3 5G cell phone gives you the freedom to capture from any angle. Make hands-free video calls and take photos by simply unfolding your Galaxy Z Flip3.
Galaxy Z Fold 3, 256GB 	Samsung	cellphones	samsung	1399.99	/prodImg/cellphones/samsung/galaxyzfold3_1.jpg	Picture of the front of a black Galaxy Z Fold 3	black	SM-F926UZKAXAA	See more and do more with the Samsung Galaxy Z Fold3 smart phone, that has the ultimate foldable screen putting a workspace, theater, and game room right in your pocket.
EOS Rebel T7	Canon	cameras	dslr	479.00	/prodImg/cameras/dslr/canoneosrebelt7_1.jpg	Picture of a Canon EOS Rebel T7 camera	black	2727C002	Perfect for beginners, this camera bundle offers the essential tools needed to take your SLR skills to new heights, all in one convenient package.
LUMIX G7	Panasonic	cameras	dslr	597.99	/prodImg/cameras/dslr/panasoniclumixg7_1.jpg	Picture of a Panasonic Lumix G7 camera	black	DMC-G7KK	The professional grade Panasonic Lumix 4K Digital Camera DMC G7KK accepts over 24 compact lens options built on the next generation interchangeable lens camera (ILC) standard (Micro Four Thirds) pioneered by Panasonic.
LUMIX FZ80	Panasonic	cameras	dslr	297.99	/prodImg/cameras/dslr/panasoniclumixfz80_1.jpg	Picture of a Panasonic Lumix FZ80 camera	black	DC-FZ80K	Perfect for travelers, the Panasonic Lumix Digital Camera DC FZ80K brings the legendary optical performance of a super long 60X (20 1200mm) DC Vario lens with amazingly stable O.I.S. (Optical Image Stabilizer) to a highly portable point and shoot travel camera.
EOS Rebel SL3	Canon	cameras	dslr	749.00	/prodImg/cameras/dslr/canoneosrebelsl3_1.jpg	Picture of a Canon EOS Rebel SL3 camera	white	3457C001	Whether you're a first time SLR user, an aspiring photo enthusiast, or someone looking to capture those amazing family moments, The Canon EOS Rebel SL3 can be the perfect companion.
OM-D E-M5 Mark III	Olympus	cameras	dslr	1399.99	/prodImg/cameras/dslr/olympusomd_1.jpg	Picture of an Olympus OM-D E-M5 Mark 3 camera	silver	V207091SU000	The OM-D E-M5 Mark III is compact, lightweight and comfortable - made for roaming the biggest cities to the smallest villages and even the most remote destinations on earth.
DSC-W800/B	Sony	cameras	pointshoot	199.00	/prodImg/cameras/pointshoot/sonydsc_1.jpg	Picture of a Sony DSC W800 camera	black	E1SNDSCW800B	Easy Made Easier This incredibly easy-to-use camera slips right in your pocket, ready to capture a memory at a moment's notice.
TG-6	Olympus	cameras	pointshoot	449.00	/prodImg/cameras/pointshoot/olympustg6_1.jpg	Picture of an Olympus Tough TG-6 camera	red	B07RC8HPHL	You live for the outdoors. Hiking steep mountain trails. Backpacking through a desert Canyon. Skiing in the wilderness. The tough tg-6 is ready for adventure. It's built to endure all the extreme environments you love exploring.
LUMIX ZS100	Panasonic	cameras	pointshoot	497.00	/prodImg/cameras/pointshoot/panasoniclumixzs100_1.jpg	Picture of a Panasonic Lumix ZS100 camera	black	DMC-ZS100K 	Perfect for travelers, the Panasonic LUMIX Digital Camera DMC-ZS100K brings the legendary optical performance of a 10X (25-250mm) LEICA DC VARIO-ELMARIT lens with amazingly stable O.I.S. (Optical Image Stabilizer) to a highly portable point-and-shoot travel camera.
LUMIX DC-ZS70S	Panasonic	cameras	pointshoot	397.99	/prodImg/cameras/pointshoot/panasoniclumixdc_1.jpg	Picture of a Panasonic LUMIX DC-ZS70S camera	black	DC-ZS70S	Panasonic lumix point-and-shoot digital cameras are known among camera enthusiasts for reliability and innovative features.
Mini Camera	IEBRT	cameras	pointshoot	53.99	/prodImg/cameras/pointshoot/iebrtminicamera_1.jpg	Picture of a IEBRT mini camera	red	B08DCL4S69	The IEBRT digital camera is equipped with a mini digital camera with FHD1080P still pictures and 36MP high-resolution video.
